	TRANSPORT	BREAKDOWN	SYNTHESIS
MMETSP1380_clean	0	0	0
MMETSP0409_clean	0	0	0
MMETSP0320_clean	0	1	1
MMETSP1374_clean	0	1	1
MMETSP0907_clean	0	1	1
MMETSP1407_clean	0	1	1
MMETSP0816_clean	0	0	0
MMETSP0661_clean	0	1	1
MMETSP1165_clean	0	1	1
MMETSP1411_clean	0	1	1
MMETSP0759_clean	0	0	0
MMETSP1319_clean	0	1	1
MMETSP0117_clean	0	1	1
MMETSP0887_clean	0	0	0
MMETSP1174_clean	0	1	1
MMETSP0898_clean	0	1	1
MMETSP0088_clean	0	1	1
MMETSP1395_clean	0	0	0
MMETSP0922_clean	0	0	0
MMETSP0780_clean	0	1	1
MMETSP0227_clean	0	1	1
MMETSP0141_clean	0	1	1
MMETSP1007_clean	0	1	1
MMETSP0852_clean	0	0	0
MMETSP0812_clean	0	1	1
MMETSP0105_clean	0	1	1
MMETSP1384_clean	0	1	1
MMETSP1063_clean	0	1	1
MMETSP0467_clean	0	1	1
MMETSP0086_clean	0	1	1
MMETSP1366_clean	0	1	1
MMETSP1439_clean	0	1	1
MMETSP0693_clean	0	0	0
MMETSP1032_clean	0	1	1
MMETSP1399_clean	0	0	0
MMETSP0100_clean	0	1	1
MMETSP0328_clean	0	0	0
MMETSP1042_clean	0	1	1
MMETSP1171_clean	0	0	0
MMETSP0209_clean	0	0	0
MMETSP0471_clean	0	1	1
MMETSP0955_clean	0	1	1
MMETSP0199_clean	0	1	1
MMETSP1057_clean	0	0	0
MMETSP0434_clean	0	1	1
MMETSP1097_clean	0	0	0
MMETSP0115_clean	0	1	1
MMETSP0593_clean	0	0	0
MMETSP0318_clean	0	1	1
MMETSP0527_clean	0	1	1
MMETSP1357_clean	0	1	1
MMETSP1058_clean	0	1	1
MMETSP0095_clean	0	1	1
MMETSP0950_clean	0	1	1
MMETSP1321_clean	0	1	1
MMETSP0211_clean	0	1	1
MMETSP1326_clean	0	0	0
MMETSP1002_clean	0	0	0
MMETSP0818_clean	0	1	1
MMETSP0718_clean	0	0	0
MMETSP0415_clean	0	0	0
MMETSP0976_clean	0	1	1
MMETSP0751_clean	0	1	1
MMETSP1371_clean	0	1	1
MMETSP1422_clean	0	1	1
MMETSP1419_clean	0	1	1
MMETSP1421_clean	0	1	1
MMETSP1396_clean	0	1	1
